order_date,gross_order_value,total_refunds,recognized_revenue_operational
2025-07-02,354933.71,57112.76,297820.95
2023-04-22,524778.60,21544.71,503233.89
2023-08-08,578336.39,86445.39,491891.00
2024-01-27,802733.75,62357.36,740376.39
2023-04-16,450094.85,126557.19,323537.66
2025-10-07,482176.67,133554.96,348621.71
2023-05-14,510448.86,52486.96,457961.90
2025-12-16,481588.05,96910.30,384677.75
2025-01-09,597677.45,118818.64,478858.81
2025-06-30,375793.01,23531.03,352261.98
2023-02-25,496981.27,42867.28,454113.99
2023-03-27,637931.64,82003.95,555927.69
2023-03-13,587480.49,36355.75,551124.74
2025-02-28,628529.42,115477.67,513051.75
2025-04-02,552720.11,67441.30,485278.81
2023-03-28,482235.25,137705.18,344530.07
2024-12-18,405934.74,26068.54,379866.20
2024-11-22,675257.16,67096.85,608160.31
2024-03-22,556775.36,47292.58,509482.78
2025-02-27,589401.54,90378.40,499023.14
2023-12-28,507833.39,132276.73,375556.66
2023-04-28,462788.69,98998.92,363789.77
2023-04-10,569466.50,134474.37,434992.13
2023-06-15,509469.62,115624.58,393845.04
2024-10-22,350893.73,66093.58,284800.15
2025-03-14,438533.89,59710.42,378823.47
2023-07-27,560123.97,70541.55,489582.42
2024-08-02,496602.80,122606.53,373996.27
2024-02-05,575836.54,108636.22,467200.32
2025-06-11,766991.92,84534.44,682457.48
2023-11-27,586386.34,105795.69,480590.65
2023-03-14,668298.67,128484.56,539814.11
2024-06-04,418022.13,51078.91,366943.22
2023-08-14,426251.27,19587.84,406663.43
2025-12-25,637585.29,106953.04,530632.25
2025-01-19,573943.62,113454.72,460488.90
2023-11-30,647816.41,126884.28,520932.13
2023-10-10,506868.19,67690.01,439178.18
2024-09-09,564007.53,152561.37,411446.16
2025-07-11,372004.46,30868.76,341135.70
2025-03-05,605187.78,91229.88,513957.90
2025-09-10,578088.17,167685.96,410402.21
2023-07-11,389165.06,73381.88,315783.18
2023-10-09,628267.90,81229.10,547038.80
2023-03-21,484277.78,54319.73,429958.05
2024-02-24,550942.99,48460.70,502482.29
2023-06-28,520422.58,149114.83,371307.75
2025-05-27,514677.50,102550.75,412126.75
2024-07-28,446686.02,40206.70,406479.32
2024-09-05,428042.26,103034.19,325008.07
2024-04-22,457940.11,94357.42,363582.69
2025-02-09,491346.35,86037.31,405309.04
2024-09-24,417919.83,113460.30,304459.53
2024-12-25,706608.75,146985.32,559623.43
2023-09-15,544885.99,85863.39,459022.60
2024-05-07,418757.62,57481.35,361276.27
2024-06-14,514627.97,141748.93,372879.04
2023-12-27,567845.19,15230.71,552614.48
2023-02-20,645584.89,78042.76,567542.13
2024-04-27,499641.27,87956.55,411684.72
2023-08-30,571681.99,31331.22,540350.77
2025-09-02,456671.69,105133.19,351538.50
2025-02-20,438362.52,63626.33,374736.19
2023-07-20,624587.03,95008.08,529578.95
2023-06-23,476782.33,42128.13,434654.20
2024-07-12,487533.09,39435.69,448097.40
2023-05-13,605314.78,109363.07,495951.71
2024-10-14,443979.32,65223.36,378755.96
2023-09-10,562106.44,91410.24,470696.20
2024-04-05,687396.60,118725.11,568671.49
2025-10-23,569596.59,89567.76,480028.83
2024-09-12,590136.85,98398.33,491738.52
2024-09-19,554750.23,86178.10,468572.13
2025-04-06,551437.18,69213.63,482223.55
2024-02-23,411972.28,37118.81,374853.47
2023-08-12,501786.02,84240.95,417545.07
2023-09-14,679451.25,119893.37,559557.88
2025-12-29,461348.96,23956.33,437392.63
2025-07-03,488633.63,60713.57,427920.06
2024-12-22,662747.82,108933.26,553814.56
2025-07-08,497997.66,67740.00,430257.66
2025-04-16,519134.44,115248.94,403885.50
2025-10-02,567737.27,89597.90,478139.37
2024-06-22,566325.14,63528.23,502796.91
2023-10-30,707678.94,132712.06,574966.88
2024-09-29,554207.59,64686.41,489521.18
2023-02-02,610554.59,82733.41,527821.18
2023-08-17,567659.78,71289.16,496370.62
2023-05-05,608340.70,138594.54,469746.16
2025-10-21,642254.72,53465.51,588789.21
2024-04-19,644516.02,121049.67,523466.35
2024-04-29,483294.27,147551.51,335742.76
2024-10-20,418954.09,112327.73,306626.36
2024-04-15,495694.31,50636.76,445057.55
2024-04-11,467117.11,92628.63,374488.48
2025-11-05,474836.07,81934.30,392901.77
2024-09-15,727519.49,67551.88,659967.61
2023-09-06,579992.33,51123.20,528869.13
2023-04-18,609127.91,124185.42,484942.49
2025-09-28,301689.64,29053.26,272636.38
2025-12-08,430073.61,81773.85,348299.76
2023-07-07,605840.91,57958.17,547882.74
2024-04-03,379857.69,15508.41,364349.28
2025-04-21,426753.53,43576.80,383176.73
2023-01-15,580007.05,40812.93,539194.12
2025-03-28,610389.31,164283.27,446106.04
2024-10-10,485570.91,40901.86,444669.05
2025-08-21,587713.71,141383.63,446330.08
2024-07-09,514526.86,70481.30,444045.56
2025-07-22,428319.14,57630.15,370688.99
2024-11-25,637246.42,122817.66,514428.76
2024-01-05,436607.92,32476.47,404131.45
2023-02-08,535810.26,85984.76,449825.50
2023-03-03,657392.92,64746.28,592646.64
2023-10-15,668717.70,95726.62,572991.08
2023-07-04,696946.36,112559.01,584387.35
2024-12-30,364152.48,71297.01,292855.47
2025-11-25,434737.48,56514.89,378222.59
2024-04-17,497187.04,158757.05,338429.99
2023-01-21,561575.58,47154.99,514420.59
2025-03-19,598810.51,45523.11,553287.40
2023-03-26,550742.11,120721.68,430020.43
2023-07-24,583471.72,61727.88,521743.84
2023-05-02,395890.18,92015.22,303874.96
2025-08-08,532780.69,105997.44,426783.25
2023-07-22,573045.15,136383.65,436661.50
2025-06-21,454058.34,21708.85,432349.49
2023-06-13,344400.05,30943.59,313456.46
2025-07-24,487798.97,97419.31,390379.66
2025-02-16,375393.63,115041.19,260352.44
2024-01-17,580086.19,74242.72,505843.47
2023-10-03,458610.97,74736.19,383874.78
2023-08-23,570334.09,75789.69,494544.40
2025-09-12,487533.71,37425.63,450108.08
2025-11-30,582142.80,91212.39,490930.41
2024-03-28,504879.38,47790.13,457089.25
2023-10-21,536871.75,96861.64,440010.11
2024-12-16,438904.52,43429.13,395475.39
2025-10-20,437769.50,53220.24,384549.26
2025-12-30,544527.41,31201.76,513325.65
2025-08-07,485690.48,64794.80,420895.68
2023-10-04,664897.05,99950.39,564946.66
2023-10-29,570970.00,134571.81,436398.19
2024-05-25,502516.02,37826.38,464689.64
2024-07-24,656415.20,26799.52,629615.68
2025-08-18,568214.41,28090.51,540123.90
2025-03-23,612577.19,108877.12,503700.07
2024-04-18,420692.82,83628.54,337064.28
2023-04-03,515920.73,149869.78,366050.95
2023-12-03,578582.44,107626.78,470955.66
2025-11-20,633204.24,87941.34,545262.90
2025-12-28,547985.15,53029.59,494955.56
2023-01-03,407522.75,70394.96,337127.79
2023-01-29,511235.68,99301.34,411934.34
2025-09-17,665797.30,265898.61,399898.69
2024-08-25,528526.74,58603.90,469922.84
2024-11-11,418384.10,62255.21,356128.89
2025-12-02,425762.25,61951.49,363810.76
2025-03-09,464172.43,39439.48,424732.95
2023-12-30,481526.22,111144.97,370381.25
2024-03-05,499227.85,100365.82,398862.03
2025-12-22,365662.88,109116.28,256546.60
2023-04-30,496414.27,88145.78,408268.49
2023-09-25,645755.89,28001.81,617754.08
2025-08-11,605415.78,72070.34,533345.44
2023-04-12,361890.50,73300.32,288590.18
2025-05-05,751216.89,180768.64,570448.25
2025-08-22,511624.66,136723.07,374901.59
2024-04-30,699165.64,120530.84,578634.80
2024-02-08,556724.30,31260.23,525464.07
2024-06-18,529007.14,109716.03,419291.11
2025-03-27,538730.76,134782.98,403947.78
2024-08-08,762271.56,77733.39,684538.17
2024-03-27,613393.07,136779.26,476613.81
2023-04-20,487491.46,0.00,487491.46
2023-04-09,388042.97,103280.34,284762.63
2023-11-10,638186.22,80082.44,558103.78
2024-12-28,622611.12,102291.48,520319.64
2023-11-13,630591.71,112535.81,518055.90
2023-05-09,374543.40,35416.03,339127.37
2023-04-26,370306.91,64754.15,305552.76
2025-10-01,533195.63,74530.72,458664.91
2023-08-03,523264.24,30570.22,492694.02
2025-05-13,439019.76,76585.23,362434.53
2023-07-09,516374.27,127560.98,388813.29
2025-08-17,591297.14,87429.02,503868.12
2024-02-09,629993.24,238439.03,391554.21
2023-05-26,701021.43,73863.28,627158.15
2025-01-28,623795.85,62404.43,561391.42
2024-09-18,378807.90,122337.63,256470.27
2024-10-12,501777.28,16909.86,484867.42
2023-08-22,557613.37,90436.78,467176.59
2023-08-13,462742.72,63023.09,399719.63
2025-09-22,480063.75,158207.56,321856.19
2023-06-27,345218.62,45856.96,299361.66
2023-04-04,533831.65,46039.07,487792.58
2023-11-17,706836.56,25331.60,681504.96
2024-12-06,573023.22,43971.84,529051.38
2023-11-04,719567.87,197155.13,522412.74
2024-06-17,490989.36,83449.40,407539.96
2024-04-24,489013.89,65598.10,423415.79
2023-01-23,560285.36,80266.17,480019.19
2023-10-14,606202.68,141521.12,464681.56
2025-04-26,333664.93,41785.26,291879.67
2023-08-27,593816.31,56897.10,536919.21
2023-09-23,367940.98,53034.45,314906.53
2024-04-09,477959.86,30242.19,447717.67
2023-11-26,563900.91,115542.63,448358.28
2023-09-17,484706.02,75272.11,409433.91
2023-12-31,528436.97,94582.16,433854.81
2024-04-23,534816.74,41390.58,493426.16
2024-12-01,647481.22,79115.90,568365.32
2023-05-21,521400.76,61639.77,459760.99
2023-01-25,559756.92,40358.54,519398.38
2024-03-20,561233.84,118847.42,442386.42
2023-04-15,429051.46,87351.13,341700.33
2023-11-09,495728.39,52876.60,442851.79
2023-12-06,407384.71,56476.79,350907.92
2024-07-11,483853.03,71816.57,412036.46
2023-09-22,603664.33,137095.76,466568.57
2023-01-31,452049.04,107289.52,344759.52
2023-04-02,425022.49,107670.77,317351.72
2025-06-25,684845.34,139137.81,545707.53
2024-02-04,443949.83,91887.67,352062.16
2024-05-09,509450.14,53894.48,455555.66
2025-10-24,462142.05,62023.73,400118.32
2024-09-27,581606.31,68374.35,513231.96
2025-01-27,486316.30,50574.38,435741.92
2024-07-29,574818.59,48026.01,526792.58
2024-11-19,585708.29,126707.53,459000.76
2023-08-07,623080.99,79991.20,543089.79
2024-09-11,334041.01,74716.41,259324.60
2024-09-17,412444.79,39984.56,372460.23
2023-12-29,535616.88,64899.15,470717.73
2023-02-01,527712.59,32579.76,495132.83
2025-03-22,666937.60,118172.39,548765.21
2024-10-07,417698.46,108238.38,309460.08
2025-06-23,450556.80,83639.97,366916.83
2024-10-31,489542.32,66237.96,423304.36
2023-10-22,450769.67,67074.50,383695.17
2025-03-03,571544.30,96800.31,474743.99
2025-09-11,480467.14,45854.51,434612.63
2024-03-12,555199.41,118210.26,436989.15
2025-06-15,522282.04,34464.00,487818.04
2023-04-11,535240.56,99237.98,436002.58
2023-12-01,489823.90,86241.89,403582.01
2025-10-18,588120.78,36687.14,551433.64
2023-12-13,525501.07,45957.40,479543.67
2025-01-13,587413.72,37199.08,550214.64
2025-11-06,509431.24,73242.04,436189.20
2024-08-12,493053.86,73350.65,419703.21
2023-06-26,495873.87,76428.07,419445.80
2025-04-03,657132.24,93906.59,563225.65
2025-07-23,519094.22,126537.50,392556.72
2024-08-18,463094.15,94887.88,368206.27
2023-06-16,558958.37,148738.75,410219.62
2024-07-02,556752.81,69442.01,487310.80
2024-07-26,469198.74,141820.65,327378.09
2025-04-29,522559.02,106959.96,415599.06
2025-09-27,545839.09,106719.75,439119.34
2024-04-20,635223.52,65021.53,570201.99
2023-04-29,568243.34,97686.47,470556.87
2025-02-22,559139.85,90911.78,468228.07
2024-11-21,619995.85,97631.11,522364.74
2024-07-25,568251.44,69088.84,499162.60
2024-10-04,658077.56,66036.81,592040.75
2023-05-16,322806.63,31100.76,291705.87
2023-07-05,465462.79,100239.73,365223.06
2023-08-04,447551.82,76241.74,371310.08
2023-06-01,588175.18,98746.84,489428.34
2023-06-21,594216.55,46599.53,547617.02
2023-09-24,593989.76,122105.10,471884.66
2024-10-03,568737.13,89752.89,478984.24
2023-07-18,314779.12,39223.87,275555.25
2025-10-14,507343.85,54726.61,452617.24
2024-07-07,574198.23,103933.03,470265.20
2023-05-29,613949.33,64410.71,549538.62
2025-11-21,413193.29,19862.39,393330.90
2023-01-02,486782.42,27707.94,459074.48
2024-07-30,306570.68,53482.14,253088.54
2025-02-14,359383.43,64026.21,295357.22
2025-11-16,574661.85,140281.44,434380.41
2024-06-02,538064.27,93679.90,444384.37
2023-08-18,552589.62,41572.76,511016.86
2023-07-23,596096.33,45891.68,550204.65
2025-05-16,393616.60,93779.81,299836.79
2023-01-07,540949.17,89204.35,451744.82
2024-03-29,610934.13,109408.56,501525.57
2025-08-14,482602.13,43127.83,439474.30
2024-07-23,424960.17,15716.58,409243.59
2024-05-24,591430.54,90711.27,500719.27
2023-06-02,543840.54,100009.21,443831.33
2024-08-31,430233.27,73362.96,356870.31
2025-01-01,561834.11,63117.87,498716.24
2023-12-17,659920.03,69612.33,590307.70
2025-03-25,390079.16,119397.88,270681.28
2023-08-19,557035.30,29877.47,527157.83
2024-08-21,549974.95,56459.10,493515.85
2025-10-28,600323.38,129107.08,471216.30
2024-11-16,542667.76,96339.76,446328.00
2023-08-26,577741.19,46658.69,531082.50
2025-10-29,655276.14,67778.78,587497.36
2025-04-01,584431.46,104912.27,479519.19
2023-11-18,459702.71,102694.34,357008.37
2024-09-14,685053.04,55021.53,630031.51
2025-10-15,456725.81,80278.76,376447.05
2023-11-28,577720.64,127123.98,450596.66
2025-02-23,588294.81,61112.52,527182.29
2024-10-30,556377.78,17347.41,539030.37
2024-10-28,629349.61,88215.40,541134.21
2025-05-26,587432.20,59024.17,528408.03
2024-01-19,610624.34,111344.42,499279.92
2025-10-19,583979.70,51488.07,532491.63
2023-12-15,497442.11,10850.95,486591.16
2024-02-02,513312.26,34738.90,478573.36
2023-06-12,388197.92,64337.10,323860.82
2023-12-10,553933.26,73170.47,480762.79
2024-11-13,454031.05,55830.39,398200.66
2024-03-10,460923.31,85324.77,375598.54
2024-01-14,604039.32,134432.57,469606.75
2023-07-30,367061.22,67928.86,299132.36
2023-01-17,456555.49,81253.15,375302.34
2024-12-17,588871.34,53296.87,535574.47
2025-02-11,626274.46,43575.18,582699.28
2023-12-11,526527.00,117918.41,408608.59
2023-09-27,499940.30,110948.15,388992.15
2024-04-13,463832.47,60826.52,403005.95
2025-08-31,723685.48,103834.93,619850.55
2025-05-18,603950.59,84900.74,519049.85
2023-02-16,438746.63,58415.02,380331.61
2024-03-11,498937.75,97252.48,401685.27
2024-01-03,505595.18,66703.17,438892.01
2025-07-17,462009.32,118355.33,343653.99
2025-12-20,534294.30,93605.12,440689.18
2025-06-18,408231.09,59643.65,348587.44
2025-05-25,424851.97,56383.70,368468.27
2024-03-09,495096.97,56140.44,438956.53
2023-05-08,498587.95,99019.81,399568.14
2023-01-12,398225.37,71857.02,326368.35
2024-05-08,456003.96,44548.84,411455.12
2023-07-15,614733.39,35858.58,578874.81
2024-04-28,525262.53,51709.89,473552.64
2024-12-27,516939.23,77746.19,439193.04
2023-03-10,477202.15,73167.57,404034.58
2025-02-02,407017.45,39112.84,367904.61
2023-06-24,519892.05,192789.77,327102.28
2024-05-05,642366.59,96686.58,545680.01
2024-03-07,610313.07,152968.77,457344.30
2024-08-06,367494.68,48595.20,318899.48
2023-12-21,708868.70,112438.14,596430.56
2025-09-04,806898.02,128791.04,678106.98
2023-05-12,260734.64,0.00,260734.64
2024-02-01,581104.65,58066.43,523038.22
2024-11-23,487451.96,119814.29,367637.67
2025-07-30,390519.27,48018.75,342500.52
2024-01-22,526408.82,58245.69,468163.13
2024-06-10,381790.07,75131.48,306658.59
2023-03-18,619086.66,42438.15,576648.51
2023-01-19,456887.41,31344.42,425542.99
2025-08-30,535273.97,77898.12,457375.85
2023-09-03,493540.40,109443.12,384097.28
2023-04-21,460330.55,80076.53,380254.02
2024-08-07,488741.91,108263.11,380478.80
2023-09-26,581849.32,144243.60,437605.72
2025-08-29,450059.03,34502.21,415556.82
2024-11-26,580711.70,42290.31,538421.39
2023-02-26,543475.07,53382.50,490092.57
2024-09-08,626348.01,87099.76,539248.25
2023-03-16,596091.58,62456.87,533634.71
2025-12-01,549101.02,85926.28,463174.74
2025-03-02,513349.79,69719.46,443630.33
2023-10-24,525153.03,99086.69,426066.34
2024-11-08,580862.17,126098.34,454763.83
2025-03-20,350486.28,83704.17,266782.11
2023-01-16,489425.86,73760.51,415665.35
2023-06-05,507032.13,83471.65,423560.48
2023-01-04,428326.26,71561.56,356764.70
2023-12-14,360037.03,100793.08,259243.95
2024-07-14,462242.67,90495.69,371746.98
2024-03-26,551102.31,137726.16,413376.15
2025-06-26,552095.56,37238.64,514856.92
2024-01-08,471967.29,62716.31,409250.98
2025-11-03,542270.49,51654.33,490616.16
2025-04-17,550454.20,86737.87,463716.33
2024-10-15,561526.18,93767.13,467759.05
2025-10-09,560147.69,45363.98,514783.71
2023-05-06,418484.01,69985.13,348498.88
2025-05-21,410694.29,52046.55,358647.74
2025-10-25,463250.55,93890.41,369360.14
2023-12-04,460758.97,33368.41,427390.56
2025-05-12,613253.53,157474.27,455779.26
2024-11-17,511237.21,67769.70,443467.51
2025-08-27,322519.13,30878.49,291640.64
2025-08-02,527445.09,165883.17,361561.92
2025-06-04,435938.38,64386.39,371551.99
2024-02-17,540257.02,11072.24,529184.78
2025-12-27,484745.87,76987.17,407758.70
2024-07-21,537598.30,43780.74,493817.56
2025-05-31,466985.09,91539.18,375445.91
2023-10-12,510234.08,78005.93,432228.15
2025-09-18,614274.59,66431.55,547843.04
2023-11-05,515013.24,103647.15,411366.09
2023-06-08,477068.73,105118.32,371950.41
2023-07-25,573552.93,92558.18,480994.75
2023-08-25,478185.81,78096.89,400088.92
2025-10-30,340043.40,54635.84,285407.56
2025-07-25,577716.17,139313.26,438402.91
2025-07-29,642767.76,74428.42,568339.34
2025-12-15,416787.05,36512.01,380275.04
2023-02-13,522270.69,65955.46,456315.23
2023-02-19,622031.05,119043.00,502988.05
2024-02-28,606319.37,96195.81,510123.56
2023-01-05,350704.82,73280.41,277424.41
2024-04-14,543786.08,17776.75,526009.33
2023-10-01,475991.79,109126.34,366865.45
2023-03-07,376162.94,11818.44,364344.50
2023-09-11,552126.73,123453.32,428673.41
2025-01-29,650793.72,81034.18,569759.54
2025-02-01,524401.20,73658.20,450743.00
2025-01-10,394795.59,37474.92,357320.67
2025-11-12,466088.46,46232.76,419855.70
2023-01-22,520318.92,50015.12,470303.80
2024-08-16,413792.07,112207.85,301584.22
2025-06-20,441145.92,41084.42,400061.50
2024-06-15,378947.98,23917.50,355030.48
2024-11-03,487753.95,125105.30,362648.65
2023-07-12,605940.60,83093.58,522847.02
2025-01-17,692934.89,106283.17,586651.72
2024-03-02,530767.26,143939.64,386827.62
2025-11-11,699086.27,87630.48,611455.79
2023-08-28,610250.55,69758.42,540492.13
2025-06-24,432076.67,66013.42,366063.25
2025-09-08,464702.44,95307.35,369395.09
2025-06-05,661806.45,114321.57,547484.88
2023-01-14,486518.17,87539.49,398978.68
2025-07-31,548765.71,53027.27,495738.44
2024-10-02,409827.78,77036.13,332791.65
2023-02-14,620262.91,9118.88,611144.03
2025-09-26,369669.75,28793.37,340876.38
2025-11-19,581046.96,139640.31,441406.65
2025-08-24,416005.63,48684.20,367321.43
2023-02-23,363024.84,52635.33,310389.51
2024-09-10,563442.39,67840.75,495601.64
2024-07-27,446649.98,71067.17,375582.81
2023-04-25,636358.16,37256.01,599102.15
2023-02-27,836663.90,145011.87,691652.03
2025-03-17,511597.10,55984.03,455613.07
2024-02-12,516671.07,69259.65,447411.42
2023-12-16,537390.55,82680.65,454709.90
2024-05-27,354905.02,50447.69,304457.33
2025-12-23,587010.12,69742.58,517267.54
2025-11-23,504241.16,32010.12,472231.04
2024-09-22,584984.64,74058.57,510926.07
2025-12-24,659294.93,47672.61,611622.32
2024-02-11,555229.95,150795.96,404433.99
2023-07-01,472609.88,26800.37,445809.51
2023-10-02,430731.08,141157.10,289573.98
2025-04-20,304435.32,33316.76,271118.56
2025-07-16,392712.56,19438.10,373274.46
2025-12-05,361505.80,38140.43,323365.37
2024-10-01,407661.83,58065.58,349596.25
2025-09-13,479559.67,87757.01,391802.66
