order_date,recognized_revenue_operational,completed_orders,aov_operational
2023-07-07,547882.74,36,15218.97
2024-04-03,364349.28,33,11040.89
2025-04-21,383176.73,26,14737.57
2023-01-15,539194.12,40,13479.85
2025-03-28,446106.04,34,13120.77
2024-10-10,444669.05,28,15881.04
2025-08-21,446330.08,31,14397.74
2024-07-09,444045.56,37,12001.23
2025-07-22,370688.99,26,14257.27
2024-11-25,514428.76,33,15588.75
2024-01-05,404131.45,31,13036.50
2023-02-08,449825.50,34,13230.16
2023-03-03,592646.64,42,14110.63
2023-10-15,572991.08,38,15078.71
2023-07-04,584387.35,45,12986.39
2024-12-30,292855.47,26,11263.67
2025-11-25,378222.59,29,13042.16
2024-04-17,338429.99,28,12086.79
2023-01-21,514420.59,38,13537.38
2025-03-19,553287.40,36,15369.09
2023-03-26,430020.43,36,11945.01
2023-07-24,521743.84,36,14492.88
2023-05-02,303874.96,28,10852.68
2025-08-08,426783.25,34,12552.45
2023-07-22,436661.50,33,13232.17
2025-06-21,432349.49,34,12716.16
2023-06-13,313456.46,24,13060.69
2025-07-24,390379.66,33,11829.69
2025-02-16,260352.44,26,10013.56
2024-01-17,505843.47,31,16317.53
2023-10-03,383874.78,27,14217.58
2023-08-23,494544.40,32,15454.51
2025-09-12,450108.08,32,14065.88
2025-11-30,490930.41,35,14026.58
2024-03-28,457089.25,34,13443.80
2023-10-21,440010.11,41,10731.95
2024-12-16,395475.39,32,12358.61
2025-10-20,384549.26,31,12404.81
2025-12-30,513325.65,35,14666.45
2025-08-07,420895.68,30,14029.86
2023-10-04,564946.66,38,14867.02
2023-10-29,436398.19,32,13637.44
2024-05-25,464689.64,34,13667.34
2024-07-24,629615.68,43,14642.23
2025-08-18,540123.90,40,13503.10
2025-03-23,503700.07,31,16248.39
2024-04-18,337064.28,27,12483.86
2023-04-03,366050.95,23,15915.26
2023-12-03,470955.66,36,13082.10
2025-11-20,545262.90,47,11601.34
2025-12-28,494955.56,33,14998.65
2023-01-03,337127.79,26,12966.45
2023-01-29,411934.34,32,12872.95
2025-09-17,399898.69,31,12899.96
2024-08-25,469922.84,33,14240.09
2024-11-11,356128.89,26,13697.27
2025-12-02,363810.76,28,12993.24
2025-03-09,424732.95,29,14645.96
2023-12-30,370381.25,27,13717.82
2024-03-05,398862.03,28,14245.07
2025-12-22,256546.60,20,12827.33
2023-04-30,408268.49,33,12371.77
2023-09-25,617754.08,43,14366.37
2025-08-11,533345.44,36,14815.15
2023-04-12,288590.18,26,11099.62
2025-05-05,570448.25,44,12964.73
2025-08-22,374901.59,28,13389.34
2024-04-30,578634.80,44,13150.79
2024-02-08,525464.07,38,13828.00
2024-06-18,419291.11,30,13976.37
2025-03-27,403947.78,31,13030.57
2024-08-08,684538.17,40,17113.45
2024-03-27,476613.81,34,14018.05
2023-04-20,487491.46,35,13928.33
2023-04-09,284762.63,32,8898.83
2023-11-10,558103.78,41,13612.29
2024-12-28,520319.64,34,15303.52
2023-11-13,518055.90,36,14390.44
2023-05-09,339127.37,30,11304.25
2023-04-26,305552.76,20,15277.64
2025-10-01,458664.91,41,11186.95
2023-08-03,492694.02,37,13316.05
2025-05-13,362434.53,31,11691.44
2023-07-09,388813.29,26,14954.36
2025-08-17,503868.12,35,14396.23
2024-02-09,391554.21,30,13051.81
2023-05-26,627158.15,43,14585.07
2025-01-28,561391.42,40,14034.79
2024-09-18,256470.27,22,11657.74
2024-10-12,484867.42,32,15152.11
2023-08-22,467176.59,30,15572.55
2023-08-13,399719.63,27,14804.43
2025-09-22,321856.19,30,10728.54
2023-06-27,299361.66,28,10691.49
2023-04-04,487792.58,39,12507.50
2023-11-17,681504.96,45,15144.55
2024-12-06,529051.38,36,14695.87
2023-11-04,522412.74,36,14511.47
2024-06-17,407539.96,30,13584.67
2024-04-24,423415.79,27,15682.07
2023-01-23,480019.19,34,14118.21
2023-10-14,464681.56,34,13667.10
2025-04-26,291879.67,24,12161.65
2023-08-27,536919.21,41,13095.59
2023-09-23,314906.53,24,13121.11
2024-04-09,447717.67,34,13168.17
2023-11-26,448358.28,31,14463.17
2023-09-17,409433.91,32,12794.81
2023-12-31,433854.81,38,11417.23
2024-04-23,493426.16,32,15419.57
2024-12-01,568365.32,42,13532.51
2023-05-21,459760.99,33,13932.15
2023-01-25,519398.38,40,12984.96
2024-03-20,442386.42,32,13824.58
2023-04-15,341700.33,27,12655.57
2023-11-09,442851.79,31,14285.54
2023-12-06,350907.92,26,13496.46
2024-07-11,412036.46,29,14208.15
2023-09-22,466568.57,35,13330.53
2023-01-31,344759.52,27,12768.87
2023-04-02,317351.72,23,13797.90
2025-06-25,545707.53,39,13992.50
2024-02-04,352062.16,26,13540.85
2024-05-09,455555.66,36,12654.32
2025-10-24,400118.32,28,14289.94
2024-09-27,513231.96,37,13871.13
2025-01-27,435741.92,28,15562.21
2024-07-29,526792.58,36,14633.13
2024-11-19,459000.76,38,12078.97
2023-08-07,543089.79,40,13577.24
2024-09-11,259324.60,25,10372.98
2024-09-17,372460.23,30,12415.34
2023-12-29,470717.73,31,15184.44
2023-02-01,495132.83,37,13381.97
2025-03-22,548765.21,38,14441.19
2024-10-07,309460.08,29,10671.04
2025-06-23,366916.83,26,14112.19
2024-10-31,423304.36,30,14110.15
2023-10-22,383695.17,27,14210.93
2025-03-03,474743.99,33,14386.18
2025-09-11,434612.63,31,14019.76
2024-03-12,436989.15,34,12852.62
2025-06-15,487818.04,35,13937.66
2023-04-11,436002.58,34,12823.61
2023-12-01,403582.01,31,13018.77
2025-10-18,551433.64,43,12824.04
2023-12-13,479543.67,35,13701.25
2025-01-13,550214.64,40,13755.37
2025-11-06,436189.20,35,12462.55
2024-08-12,419703.21,30,13990.11
2023-06-26,419445.80,29,14463.65
2025-04-03,563225.65,42,13410.13
2025-07-23,392556.72,26,15098.34
2024-08-18,368206.27,27,13637.27
2023-06-16,410219.62,34,12065.28
2024-07-02,487310.80,35,13923.17
2024-07-26,327378.09,25,13095.12
2025-04-29,415599.06,32,12987.47
2025-09-27,439119.34,37,11868.09
2024-04-20,570201.99,34,16770.65
2023-04-29,470556.87,35,13444.48
2025-02-22,468228.07,34,13771.41
2024-11-21,522364.74,32,16323.90
2024-07-25,499162.60,36,13865.63
2024-10-04,592040.75,37,16001.10
2023-05-16,291705.87,26,11219.46
2023-07-05,365223.06,31,11781.39
2023-08-04,371310.08,29,12803.80
2023-06-01,489428.34,35,13983.67
2023-06-21,547617.02,39,14041.46
2023-09-24,471884.66,31,15222.09
2024-10-03,478984.24,34,14087.77
2023-07-18,275555.25,24,11481.47
2025-10-14,452617.24,34,13312.27
2024-07-07,470265.20,34,13831.33
2023-05-29,549538.62,44,12489.51
2025-11-21,393330.90,30,13111.03
2023-01-02,459074.48,31,14808.85
2024-07-30,253088.54,22,11504.02
2025-02-14,295357.22,26,11359.89
2025-11-16,434380.41,31,14012.27
2024-06-02,444384.37,35,12696.70
2023-08-18,511016.86,39,13103.00
2023-07-23,550204.65,38,14479.07
2025-05-16,299836.79,32,9369.90
2023-01-07,451744.82,33,13689.24
2024-03-29,501525.57,33,15197.74
2025-08-14,439474.30,37,11877.68
2024-07-23,409243.59,30,13641.45
2024-05-24,500719.27,35,14306.26
2023-06-02,443831.33,34,13053.86
2024-08-31,356870.31,26,13725.78
2025-01-01,498716.24,36,13853.23
2023-12-17,590307.70,37,15954.26
2025-03-25,270681.28,20,13534.06
2023-08-19,527157.83,38,13872.57
2024-08-21,493515.85,33,14955.03
2025-10-28,471216.30,37,12735.58
2024-11-16,446328.00,30,14877.60
2023-08-26,531082.50,38,13975.86
2025-10-29,587497.36,47,12499.94
2025-04-01,479519.19,32,14984.97
2023-11-18,357008.37,23,15522.10
2024-09-14,630031.51,42,15000.75
2025-10-15,376447.05,24,15685.29
2023-11-28,450596.66,36,12516.57
2025-02-23,527182.29,36,14643.95
2024-10-30,539030.37,42,12834.06
2024-10-28,541134.21,38,14240.37
2025-05-26,528408.03,39,13548.92
2024-01-19,499279.92,34,14684.70
2025-10-19,532491.63,35,15214.05
2023-12-15,486591.16,41,11868.08
2024-02-02,478573.36,34,14075.69
2023-06-12,323860.82,28,11566.46
2023-12-10,480762.79,34,14140.08
2024-11-13,398200.66,30,13273.36
2024-03-10,375598.54,31,12116.08
2024-01-14,469606.75,34,13811.96
2023-07-30,299132.36,26,11505.09
2023-01-17,375302.34,35,10722.92
2024-12-17,535574.47,42,12751.77
2025-02-11,582699.28,43,13551.15
2023-12-11,408608.59,30,13620.29
2023-09-27,388992.15,30,12966.41
2024-04-13,403005.95,32,12593.94
2025-08-31,619850.55,39,15893.60
2025-05-18,519049.85,38,13659.21
2023-02-16,380331.61,25,15213.26
2024-03-11,401685.27,27,14877.23
2024-01-03,438892.01,28,15674.71
2025-07-17,343653.99,27,12727.93
2025-12-20,440689.18,33,13354.22
2025-06-18,348587.44,27,12910.65
2025-05-25,368468.27,29,12705.80
2024-03-09,438956.53,32,13717.39
2023-05-08,399568.14,32,12486.50
2023-01-12,326368.35,31,10528.01
2024-05-08,411455.12,28,14694.83
2023-07-15,578874.81,43,13462.20
2024-04-28,473552.64,34,13928.02
2024-12-27,439193.04,31,14167.52
2023-03-10,404034.58,32,12626.08
2025-02-02,367904.61,26,14150.18
2023-06-24,327102.28,28,11682.22
2024-05-05,545680.01,40,13642.00
2024-03-07,457344.30,31,14753.04
2024-08-06,318899.48,23,13865.19
2023-12-21,596430.56,39,15293.09
2025-09-04,678106.98,42,16145.40
2023-05-12,260734.64,22,11851.57
2024-02-01,523038.22,38,13764.16
2024-11-23,367637.67,27,13616.21
2025-07-30,342500.52,25,13700.02
2024-01-22,468163.13,34,13769.50
2024-06-10,306658.59,25,12266.34
2023-03-18,576648.51,40,14416.21
2023-01-19,425542.99,29,14673.90
2025-08-30,457375.85,30,15245.86
2023-09-03,384097.28,30,12803.24
2023-04-21,380254.02,28,13580.50
2024-08-07,380478.80,29,13119.96
2023-09-26,437605.72,34,12870.76
2025-08-29,415556.82,31,13405.06
2024-11-26,538421.39,33,16315.80
2023-02-26,490092.57,35,14002.64
2024-09-08,539248.25,38,14190.74
2023-03-16,533634.71,33,16170.75
2025-12-01,463174.74,31,14941.12
2025-03-02,443630.33,30,14787.68
2023-10-24,426066.34,29,14691.94
2024-11-08,454763.83,29,15681.51
2025-03-20,266782.11,26,10260.85
2023-01-16,415665.35,32,12989.54
2023-06-05,423560.48,32,13236.27
2023-01-04,356764.70,28,12741.60
2023-12-14,259243.95,18,14402.44
2024-07-14,371746.98,28,13276.68
2024-03-26,413376.15,35,11810.75
2025-06-26,514856.92,36,14301.58
2024-01-08,409250.98,26,15740.42
2025-11-03,490616.16,36,13628.23
2025-04-17,463716.33,34,13638.72
2024-10-15,467759.05,36,12993.31
2025-10-09,514783.71,39,13199.58
2023-05-06,348498.88,23,15152.13
2025-05-21,358647.74,30,11954.92
2025-10-25,369360.14,26,14206.16
2023-12-04,427390.56,26,16438.10
2025-05-12,455779.26,40,11394.48
2024-11-17,443467.51,35,12670.50
2025-08-27,291640.64,20,14582.03
2025-08-02,361561.92,26,13906.23
2025-06-04,371551.99,31,11985.55
2024-02-17,529184.78,38,13925.92
2025-12-27,407758.70,37,11020.51
2024-07-21,493817.56,35,14109.07
2025-05-31,375445.91,32,11732.68
2023-10-12,432228.15,28,15436.72
2025-09-18,547843.04,37,14806.57
2023-11-05,411366.09,33,12465.64
2023-06-08,371950.41,31,11998.40
2023-07-25,480994.75,35,13742.71
2023-08-25,400088.92,34,11767.32
2025-10-30,285407.56,26,10977.21
2025-07-25,438402.91,33,13284.94
2025-07-29,568339.34,38,14956.30
2025-12-15,380275.04,25,15211.00
2023-02-13,456315.23,31,14719.85
2023-02-19,502988.05,36,13971.89
2024-02-28,510123.56,34,15003.63
2023-01-05,277424.41,20,13871.22
2024-04-14,526009.33,36,14611.37
2023-10-01,366865.45,26,14110.21
2023-03-07,364344.50,22,16561.11
2023-09-11,428673.41,29,14781.84
2025-01-29,569759.54,43,13250.22
2025-02-01,450743.00,29,15542.86
2025-01-10,357320.67,29,12321.40
2025-11-12,419855.70,35,11995.88
2023-01-22,470303.80,34,13832.46
2024-08-16,301584.22,27,11169.79
2025-06-20,400061.50,35,11430.33
2024-06-15,355030.48,27,13149.28
2024-11-03,362648.65,24,15110.36
2023-07-12,522847.02,37,14131.00
2025-01-17,586651.72,43,13643.06
2024-03-02,386827.62,31,12478.31
2025-11-11,611455.79,41,14913.56
2023-08-28,540492.13,35,15442.63
2025-06-24,366063.25,29,12622.87
2025-09-08,369395.09,29,12737.76
2025-06-05,547484.88,40,13687.12
2023-01-14,398978.68,28,14249.24
2025-07-31,495738.44,36,13770.51
2024-10-02,332791.65,26,12799.68
2023-02-14,611144.03,39,15670.36
2025-09-26,340876.38,23,14820.71
2025-11-19,441406.65,34,12982.55
2025-08-24,367321.43,29,12666.26
2023-02-23,310389.51,24,12932.90
2024-09-10,495601.64,33,15018.23
2024-07-27,375582.81,27,13910.47
2023-04-25,599102.15,42,14264.34
2023-02-27,691652.03,42,16467.91
2025-03-17,455613.07,34,13400.38
2024-02-12,447411.42,33,13557.92
2023-12-16,454709.90,30,15157.00
2024-05-27,304457.33,21,14497.97
2025-12-23,517267.54,32,16164.61
2025-11-23,472231.04,33,14310.03
2024-09-22,510926.07,35,14597.89
2025-12-24,611622.32,38,16095.32
2024-02-11,404433.99,31,13046.26
2023-07-01,445809.51,32,13931.55
2023-10-02,289573.98,26,11137.46
2025-04-20,271118.56,25,10844.74
2025-07-16,373274.46,33,11311.35
2025-12-05,323365.37,26,12437.13
2024-10-01,349596.25,30,11653.21
2025-09-13,391802.66,29,13510.44
